Country,2019,2020,2021,2022,2023,2024
Argentina,16,14,21,35,26,30
Brazil,18,12,12,22,28,24
India,8,8,10,22,27,22
South Africa,16,17,18,23,22,22
Portugal,9,8,14,15,0,20
Switzerland,10,9,13,18,21,19
Chile,11,12,14,14,15,18
Dominican Republic,10,10,11,15,0,17
Mexico,12,11,9,12,13,17
Australia,7,8,9,16,17,16
Netherlands,10,9,10,19,19,16
South Korea,6,8,8,19,20,16
United States,5,7,8,15,16,16
Belgium,7,6,10,15,16,15
New Zealand,6,5,11,15,14,15
Poland,7,7,8,11,14,15
Spain,10,10,10,15,15,15
Austria,8,7,8,14,14,14
Denmark,8,4,11,12,13,14
Hungary,0,6,9,12,0,14
Ireland,8,10,13,15,16,14
Norway,7,8,9,15,17,14
Peru,15,16,13,14,0,14
Canada,4,6,6,14,13,13
Czechia,10,9,15,13,0,13
Germany,4,6,6,12,12,13
Greece,11,11,13,18,0,13
Italy,6,6,5,10,11,13
Lithuania,6,9,11,14,0,13
United Kingdom,6,5,5,10,12,13
Colombia,18,15,15,16,0,12
Romania,0,6,11,14,0,12
Sweden,4,4,6,11,11,12
China,11,8,7,9,10,9
Finland,4,5,6,11,12,9
France,4,6,5,9,11,9
Serbia,9,7,11,13,0,9
Japan,3,4,4,13,6,6
Egypt,0,8,12,14,19,0
Hong Kong,0,0,13,16,0,0
Indonesia,11,13,12,19,29,0
Israel,0,5,8,10,12,0
Kenya,10,11,16,19,0,0
Malaysia,0,12,16,20,23,0
Morocco,10,9,10,12,16,0
Nigeria,28,32,42,45,47,0
Pakistan,6,6,14,19,18,0
Philippines,0,20,28,29,0,0
Russia,9,8,8,10,14,0
Saudi Arabia,14,11,12,20,23,0
Singapore,0,10,11,25,0,0
Taiwan,0,5,10,14,0,0
Thailand,23,18,31,44,0,0
Turkey,20,16,25,40,47,0
United Arab Emirates,0,10,13,34,31,0
Vietnam,22,21,27,27,0,0
